address,total_contribution,contribution_count,unique_clusters,first_contribution,last_contribution,contribution_percentile,amount,contract_address
0x000000000004444c5dc75cb358380d2e3de08a90,,,,,,,42986369815602,0x26Ff40d1e2146c642e901229ac65f61AA295dC2a
0x0000005d3584925bfe774d112b623469533d1655,,,,,,,252616448440768512,0x26Ff40d1e2146c642e901229ac65f61AA295dC2a
0x000250150f8fc5030700090ac5f9006fa3a40134,,,,,,,176052401643439554560,0x26Ff40d1e2146c642e901229ac65f61AA295dC2a
0x00057f91e1bde9967a8d8e124bde9cd7b17d40c9,,,,,,,354526761365,0x26Ff40d1e2146c642e901229ac65f61AA295dC2a
0x000a99532e11ad7b06c26ceade3655ed64f68467,,,,,,,34497030849236,0x26Ff40d1e2146c642e901229ac65f61AA295dC2a
0x000d0cfc0dc5a23576dfe846585fc7c5aa334eca,,,,,,,143792420510661632,0x26Ff40d1e2146c642e901229ac65f61AA295dC2a
0x003264144e0687a1544438b0d80a97c989a492f2,,,,,,,160568821453343,0x26Ff40d1e2146c642e901229ac65f61AA295dC2a
0x003e951f051e481f9ef7185afe53cb2084607438,,,,,,,0,0x26Ff40d1e2146c642e901229ac65f61AA295dC2a
0x008ee6e633bd28c486bc79b04745627a1eb8f67f,,,,,,,0,0x26Ff40d1e2146c642e901229ac65f61AA295dC2a
0x00bae9d5026fe5fc6a47beebe6c0c672a796e093,,,,,,,92974643168178,0x26Ff40d1e2146c642e901229ac65f61AA295dC2a
0x00bd68552c259a43bbbe0bea5c37fbee8bd51f81,,,,,,,126034263665539,0x26Ff40d1e2146c642e901229ac65f61AA295dC2a
0x00d3976eea8a17dd0088355c84b4048f6f0d1641,,,,,,,2836214090926,0x26Ff40d1e2146c642e901229ac65f61AA295dC2a
0x00d62617ad2059fc99f0d6692c48dcf13e94ea82,,,,,,,157237580065959,0x26Ff40d1e2146c642e901229ac65f61AA295dC2a
0x00db9d455404b9288a453ac90f6d8ead51f2e32c,,,,,,,315706080996238,0x26Ff40d1e2146c642e901229ac65f61AA295dC2a
0x010a0d6f6dd0da242faaafed264483bd2ba360de,,,,,,,139689533926547,0x26Ff40d1e2146c642e901229ac65f61AA295dC2a
0x010bb700d230644a0da1c90e1874d312fbe28612,,,,,,,33519484888584290304,0x26Ff40d1e2146c642e901229ac65f61AA295dC2a
