address,total_contribution,contribution_count,unique_clusters,first_contribution,last_contribution,contribution_percentile
0xf966614412df64e80fad2c7108c8b657b19c3cba,0.3481043295200001,1,1,2025-06-23 00:00:00,2025-06-23 00:00:00,0.0
0xf235c33f21d52216d5c13090ae6cb894e6c5ed90,0.3481043295200001,1,1,2025-06-23 00:00:00,2025-06-23 00:00:00,0.0
0x15663e1b016715cf8e365c47b58183b67ff127ed,0.3481043295200001,1,1,2025-06-23 00:00:00,2025-06-23 00:00:00,0.0
0xfe222247735b3c7ef099ba761f9477450f5256fe,7212.880070160001,1,1,2025-06-23 00:00:00,2025-06-23 00:00:00,0.13636363636363635
0x353ba7829f4002800112ba6214dabcd51e82e078,7241.847460000001,1,1,2025-06-23 00:00:00,2025-06-23 00:00:00,0.18181818181818182
0x3ada85d4f516b241a9e80e50fd3599a08dac54db,7241.847460000001,1,1,2025-06-23 00:00:00,2025-06-23 00:00:00,0.18181818181818182
0xa2cfb4a5e7e501d6bd2d6aa8ecc10893e1dbd624,7241.847460000001,1,1,2025-06-23 00:00:00,2025-06-23 00:00:00,0.18181818181818182
0x589dc83d19b1f41a6d9b79ed2cc20fbaef5902ac,24108.588733999997,1,1,2025-06-23 00:00:00,2025-06-23 00:00:00,0.3181818181818182
0x1584d4f527f04e907aed1ee4342cf0f6e07e7059,35858.7975,1,1,2025-06-23 00:00:00,2025-06-23 00:00:00,0.36363636363636365
0xeeda1b827e47ce5994713a305e699e9f812de44a,44564.33605,1,1,2025-06-23 00:00:00,2025-06-23 00:00:00,0.4090909090909091
0x52372a6dd24699cfd9ef227ad5375fa32133dc4c,111730.72547100001,1,1,2025-06-23 00:00:00,2025-06-23 00:00:00,0.45454545454545453
0x875c2aa1b9772fe760e330c2fb18a1853dcce8ec,134681.32385400002,1,1,2025-06-23 00:00:00,2025-06-23 00:00:00,0.5
0xf62e8c0db52306987b5757fd96589f8d5fd54f09,151604.30169000002,1,1,2025-06-23 00:00:00,2025-06-23 00:00:00,0.5454545454545454
0xc62188bdb24d2685aed8fa491e33efba47db63c2,255666.61805400002,2,2,2025-06-23 00:00:00,2025-06-23 00:00:00,0.5909090909090909
0xd5281b0011eb37ab391e59add92ccb33a6870816,347755.1808774915,1,1,2025-06-23 00:00:00,2025-06-23 00:00:00,0.6363636363636364
0x07c7a5905f877d42395b730a815d4a90c9335241,572706.62,1,1,2025-06-23 00:00:00,2025-06-23 00:00:00,0.6818181818181818
0x346d827a75f98f0a7a324ff80b7c3f90252e8bac,17126449.49,1,1,2025-06-23 00:00:00,2025-06-23 00:00:00,0.7272727272727273
0xaac0f1f7715beb0a2c34eae16afe93fb10c1fb6f,54149938.45551001,1,1,2025-06-23 00:00:00,2025-06-23 00:00:00,0.7727272727272727
0xde4a1b2ea88ec03e93aad9d4c5bffeb18687d079,103403228.97932999,1,1,2025-06-23 00:00:00,2025-06-23 00:00:00,0.8181818181818182
0x2364963e6b99281def39aeda6a8acee790d93af4,124490715.01983011,1,1,2025-06-23 00:00:00,2025-06-23 00:00:00,0.8636363636363636
0x1cb2e4bcf47509c41b7b77c9f67744c9c8b0c7e7,168809293.16000003,1,1,2025-06-23 00:00:00,2025-06-23 00:00:00,0.9090909090909091
0x388c818ca8b9251b393131c08a736a67ccb19297,601619372.2105628,43,43,2025-06-23 00:00:00,2025-06-23 00:00:00,0.9545454545454546
0x0c83eae1fe72c390a02e426572854931eeff93ba,730243030.2841508,13,13,2025-06-23 00:00:00,2025-06-23 00:00:00,1.0
